Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,Carries,RushingYards,YardsPerCarry,RushingTouchdowns,Targets,Receptions,ReceivingYards,ReceivingTDs,SnapShare,OpportunityShare,ShotgunCarryRate,ShotgunYardsPerCarry,UnderCenterCarryRate,UnderCenterYardsPerCarry,AverageDefendersInTheBox,StackedFrontCarryRate,BaseFrontCarryRate,LightFrontCarryRate
15,17959,D. Henry,28.5,215,1059,4.9,12,18,15,99,0,43.1,50.8,25.6,4.2,74.4,5.2,7.37,44.7,38.1,16.7
16,18003,K. Drake,28.4,120,535,4.5,4,73,53,477,4,61.3,45.6,50,4.4,50,4.5,6.47,11.7,34.2,53.3
17,19798,N. Chubb,26.5,192,996,5.2,8,29,20,149,2,37.1,48.4,27.1,5.8,72.9,5,7.1,29.2,41.1,29.7
18,16834,T. Coleman,29.2,167,800,4.8,4,44,32,276,5,57.4,54.2,14.4,1.9,85.6,5.3,6.46,15.6,45.5,34.1
19,4807,A. Peterson,37.3,251,1042,4.2,7,26,20,208,1,49.6,63.2,24.7,4,75.3,4.2,6.76,14.7,45.8,39.4
20,18067,J. Howard,27.7,250,935,3.7,9,27,20,145,0,59.5,55.6,55.2,4.2,44.8,3.1,6.68,18.4,40,40
21,18998,M. Mack,26.3,195,908,4.7,9,26,17,103,1,55.2,60.7,43.6,5.4,57.4,4,6.7,13.8,42.1,44.1
22,16797,T. Yeldon,28.8,104,414,4,1,78,55,487,4,59,43.6,57.7,4.2,42.3,3.8,6.84,25,39.4,34.6
23,13791,L. Miller,31.2,210,973,4.6,5,35,25,163,1,69.7,63.1,44.3,4.9,55.7,4.4,6.85,22.4,43.3,33.8
24,19045,A. Jones,27.6,133,728,5.5,8,35,26,206,1,50,56.9,33.8,5.1,66.2,5.7,6.55,7.5,37.6,54.9
25,19562,A. Ekeler,27.1,106,554,5.2,2,53,39,404,3,41.8,36.7,28.3,6.4,71.7,4.8,6.76,22.6,41.5,34.9
26,19319,M. Breida,27.4,153,814,5.3,3,31,27,261,2,42.4,43.4,19.6,4,80.4,5.6,6.9,24.8,41.2,34
27,19912,N. Hines,25.6,85,314,3.7,2,81,63,425,2,43.8,35,67.1,4.3,32.9,2.5,6.31,11.8,29.4,57.6
28,12708,D. Lewis,31.8,155,517,3.3,1,67,59,400,1,63.1,48.4,27.7,3,72.3,3.4,7.05,29.7,40.6,29.7
29,18690,J. Richard,28.7,55,259,4.7,1,81,68,607,0,41.5,28.3,56.4,5.2,43.6,4.1,6.51,10.9,34.5,54.5
30,18872,D. Cook,26.9,133,615,4.6,2,49,40,305,2,72,65.2,30.1,6.5,69.9,3.8,6.42,8.3,37.6,53.4
31,18375,P. Barber,28.4,234,871,3.7,5,29,20,92,1,58.1,68.5,23.5,3.9,76.5,3.7,6.93,26.1,38.9,34.6
32,13337,M. Ingram II,32.5,138,645,4.7,6,27,21,170,1,46.3,41.4,15.2,5.1,84.8,4.6,6.75,16.7,44.9,37.7
33,16127,I. Crowell,29.5,143,685,4.8,6,28,21,152,0,42.3,45.5,23.8,3.6,76.2,5.2,6.66,18.9,41.3,38.5
34,19822,K. Johnson,25,118,641,5.4,3,39,32,213,1,55.9,63.8,44.9,5.8,55.1,5.1,6.85,23.7,41.5,34.7
35,19828,S. Michel,27.4,209,931,4.5,6,11,7,50,0,36.2,46.7,8.6,5.2,90.9,4.4,6.99,21.5,57.4,20.1
36,16887,M. Davis,29.4,112,514,4.6,4,42,34,214,1,38,30.4,75,4.6,25,4.6,6.81,17,46.4,36.6
37,15071,L. Murray,32.5,140,578,4.1,6,26,22,141,0,46.8,41.8,17.1,3.8,82.9,4.2,7.1,26.4,50.7,22.9
38,16838,D. Johnson,28.8,40,201,5,0,62,47,429,3,43.1,22.3,52.5,5.6,52.5,4,6.88,7.5,45,52.5
39,11932,L. McCoy,34,161,514,3.2,3,46,34,238,0,56.4,52.7,29.2,2.5,70.8,3.5,6.61,17.4,37.9,42.9
40,18803,L. Fournette,27.5,133,439,3.3,5,26,22,185,1,52.3,57,27.1,4.4,72.9,2.9,7.15,36.1,36.8,26.3
41,14385,D. Martin,33.5,172,723,4.2,4,24,18,116,0,35.8,40.8,33.7,4.7,66.3,4,6.76,20.9,33.7,45.3
42,18070,W. Smallwood,28.5,87,364,4.2,3,35,28,230,2,37.5,34.2,72.4,4,28.7,4.6,6.69,11.5,42.5,47.1
43,15126,T. Riddick,31.2,40,171,null,0,75,61,384,0,0,null,null,null,null,null,null,null,null,null
44,18995,J. Williams,27.3,121,464,3.8,3,41,27,210,0,50.9,41.9,53.7,4.1,45.5,3.5,6.43,9.9,28.9,60.3
45,18088,A. Collins,27.9,114,411,3.6,7,21,15,105,1,42.9,50.6,42.1,4.4,57.9,3,6.89,28.9,39.5,28.9
46,5820,F. Gore,39.1,156,722,4.6,0,16,12,124,1,44,46.6,40.4,4.1,59.6,5,6.49,8.3,41,49.4
47,19823,R. Freeman,26.4,130,521,4,5,20,14,72,0,34.2,35.4,16.2,1.7,83.8,4.4,6.97,24.6,45.4,30
48,16031,D. Williams,30.3,50,256,5.1,4,24,23,160,2,31,29.7,56,5.4,42,5,6.36,14,26,58
49,16668,C. Hyde,31.8,172,571,3.3,5,17,10,33,0,41.7,44.2,30.8,3.5,69.2,3.2,7.28,40.7,34.3,23.8
50,19924,I. Smith,26.8,90,315,3.5,4,32,27,152,0,38,38.2,13.3,3.5,86.7,3.5,6.71,21.1,45.6,31.1
51,16189,A. Blue,31.2,150,499,3.3,2,27,20,154,0,43.4,40.7,36.7,3.8,63.3,3.1,7.03,26.7,48,24.7
52,14916,G. Bernard,30.6,56,211,3.8,3,48,35,218,0,45.1,32.6,44.6,3,55.4,4.4,6.61,16.1,35.7,48.2
53,15102,C. Thompson,31.7,43,178,4.1,0,55,41,268,1,51.3,34.1,69.8,4.7,30.2,2.8,6.16,7,27.9,65.1
54,15150,C. Patterson,31.3,42,228,null,1,28,21,247,3,20.5,null,null,null,null,null,null,null,null,null
55,19996,J. Samuels,26,56,256,4.6,0,29,26,199,3,36.8,35.1,66.1,5.3,33.9,3.2,6.5,7.1,37.5,55.4
56,17970,D. Booker,30.1,34,183,5.4,1,51,38,275,0,28.4,17.5,61.8,4.2,38.2,7.3,6.06,0,32.4,67.6
57,20239,G. Edwards,27.2,137,718,5.2,2,2,2,20,0,38.8,44.6,88.3,5.5,12.4,3.4,6.93,24.1,41.6,35
58,12296,L. Blount,35.6,154,418,2.7,5,15,10,67,0,27.3,42.4,20.1,3.9,80.5,2.4,7.24,33.8,44.8,22.1
59,19109,E. McGuire,28.1,92,276,3,3,31,19,193,1,65,54.2,29.3,3.1,70.7,3,6.82,16.3,41.3,42.4
60,13299,J. Rodgers,32.4,33,106,3.2,1,45,38,304,0,34,21.5,48.5,4.5,51.5,2,6.58,15.2,33.3,51.5
61,20075,J. Adams,25.7,120,511,4.3,3,13,7,58,0,32.7,40.5,51.7,4.6,48.3,3.8,6.48,5,44.2,50
62,19548,C. Clement,27.7,68,259,3.8,2,25,22,192,0,33.6,31.2,63.2,4.6,38.2,2.5,6.69,7.4,44.1,50
63,12386,M. Lynch,36.2,90,376,4.2,3,19,15,84,0,51.9,56.2,25.6,7.8,74.4,2.9,7.08,34.4,34.4,31.1
64,15261,S. Ware,30.6,51,246,4.8,2,23,20,224,0,29.8,24.5,58.8,3.7,41.2,6.4,6.24,7.8,15.7,76.5
